Year,Country,Origin,HS_Code,Description,Weight_kg,Value_USD
2020,,,210390,,4935.841,39086.825
2020,,,210390,,22.406,356.509
2020,,,210390,,17.435,38.85
2020,,,210390,,316.406,16046.315
2020,,,210390,,75.812,1038.674
2020,,,210390,,73.029,462.776
2020,,,210390,,99.828,417.069
2020,,,210390,,41.406,381.647
2020,,,210390,,8059.049,79511.7
2020,,,210390,,42.406,525.622
2020,,,210390,,5.653,54.847
2020,,,210390,,958.87,6308.602
2020,,,210390,,54.623,222.818
2020,,,210390,,742.218,2855.497
2020,,,210390,,2.406,26.281
2020,,,200190,,767.204,2790.365
2020,,,200190,,400.563,860.42
2020,,,200190,,25.641,126.835
2020,,,200190,,244.176,523.336
2020,,,200190,,7.049,12.569
2020,,,210390,,54.623,222.818
2020,,,210390,,958.87,6308.602
2020,,,210390,,18.117,180.54
2020,,,210390,,42.406,525.622
2020,,,210390,,4935.841,39086.825
2020,,,210390,,8059.049,79511.7
2020,,,210390,,2.406,26.281
2020,,,210390,,75.812,1038.674
2020,,,210390,,4.406,62.846
2020,,,210390,,742.218,2855.497
2020,,,210390,,17.435,38.85
2020,,,210390,,5.653,54.847
2020,,,210390,,41.406,381.647
2020,,,210390,,316.406,16046.315
2020,,,210390,,99.828,417.069
2020,,,210390,,73.029,462.776
2020,,,210390,,22.406,356.509
2020,,,200190,,454789.724,917581.134
2020,,,200190,,1405242.662,5320068.053
2020,,,200190,,1109.204,6298.318
2020,,,200190,,22191.739,141517.915
2020,,,200190,,3020359.303,4737109.085
2020,,,200190,,11323956.379,30544218.873
2020,,,200190,,30350921.204,37910815.369
2020,,,200190,,138147.049,106974.289
2020,,,210390,,69206.406,280055.783
2020,,,210390,,145510.302,977343.172
2020,,,210390,,23602.406,106600.64
2020,,,210390,,99.364,1032.961
2020,,,210390,,930760.581,3156997.865
2020,,,210390,,11849643.87,29150518.227
2020,,,210390,,8648.539,166516.937
2020,,,210390,,37517036.263,85000504.392
2020,,,210390,,238648.406,406376.376
2020,,,210390,,287262.581,877200.822
2020,,,210390,,19180047.406,32737534.016
2020,,,210390,,3824497.924,8007239.011
2020,,,210390,,2182123.406,7208892.863
2020,,,210390,,5046303.208,9497313.529
2020,,,210390,,827077.075,2545890.716
2020,,,210390,,29615.406,33341.552
2020,,,210390,,10872.117,46989.432
2020,,,210390,,38426.406,130695.822
2020,,,210390,,284940.218,762481.613
2020,,,210390,,442021.367,2049181.689
2020,,,210390,,400117.799,976848.402
2020,,,210390,,139333.435,306843.062
2020,,,210390,,4199.177,22705.712
2020,,,210390,,7671.87,43700.869
2020,,,210390,,7310.029,34521.916
2020,,,210390,,2937599.14,9853407.339
2020,,,210390,,6839.406,46351.83
2020,,,210390,,2196317.543,7888418.811
2020,,,210390,,28888.623,79485.419
2020,,,210390,,3486.828,16135.442
2020,,,210390,,337365.329,1082818.296
2020,,,210390,,39100.263,1568748.651
2020,,,210390,,7153.406,7281.002
2020,,,210390,,160302.812,1019623.72
2020,,,210390,,33550640.367,123778406.937
2020,,,210390,,2526870.026,10292996.147
2020,,,200190,,138147.049,106974.289
2020,,,200190,,3135133.303,4941835.288
2020,,,200190,,30394985.204,37970577.407
2020,,,200190,,11323956.379,30544218.873
2020,,,200190,,1109.204,6298.318
2020,,,200190,,22191.739,141517.915
2020,,,200190,,454789.724,917581.134
